hits,title,year,authors,key,ee
818,Deformation-Aware Robotic 3D Ultrasound.,2021,Zhongliang Jiang & Yue Zhou & Yuan Bi & Mingchuan Zhou & Thomas Wendler 0001 & Nassir Navab,journals/ral/JiangZBZWN21,https://doi.org/10.1109/LRA.2021.3099080
819,Robust 2½D Visual Servoing of A Cable-Driven Parallel Robot Thanks to Trajectory Tracking.,2020,Zane Zake & François Chaumette & Nicolò Pedemonte & Stéphane Caro,journals/ral/ZakeCPC20,https://doi.org/10.1109/LRA.2020.2965033
820,Simultaneously Learning Corrections and Error Models for Geometry-Based Visual Odometry Methods.,2020,Andrea De Maio & Simon Lacroix,journals/ral/MaioL20,https://doi.org/10.1109/LRA.2020.3015695
821,A Graph-Based Approach to Boundary Estimation With Mobile Sensors.,2022,Sean O. Stalley & Dingyu Wang & Gautam Dasarathy & John Lipor,journals/ral/StalleyWDL22,https://doi.org/10.1109/LRA.2022.3145977
822,Uncertainty-Constrained Differential Dynamic Programming in Belief Space for Vision Based Robots.,2021,Shatil Rahman & Steven L. Waslander,journals/ral/RahmanW21,https://doi.org/10.1109/LRA.2021.3062338
823,Occlusion-Aware Risk Assessment for Autonomous Driving in Urban Environments.,2019,Ming-Yuan Yu & Ram Vasudevan & Matthew Johnson-Roberson,journals/ral/YuVJ19,https://doi.org/10.1109/LRA.2019.2900453
824,Planning Approximate Exploration Trajectories for Model-Free Reinforcement Learning in Contact-Rich Manipulation.,2019,Sabrina Hoppe & Zhongyu Lou & Daniel Hennes & Marc Toussaint,journals/ral/HoppeLHT19,https://doi.org/10.1109/LRA.2019.2928212
825,Motion Switching With Sensory and Instruction Signals by Designing Dynamical Systems Using Deep Neural Network.,2018,Kanata Suzuki & Hiroki Mori & Tetsuya Ogata,journals/ral/SuzukiMO18,https://doi.org/10.1109/LRA.2018.2853651
826,Direct Visual Odometry in Low Light Using Binary Descriptors.,2017,Hatem Alismail & Michael Kaess & Brett Browning & Simon Lucey,journals/ral/AlismailKBL17,https://doi.org/10.1109/LRA.2016.2635686
827,A Novel Robotic Meshworm With Segment-Bending Anchoring for Colonoscopy.,2017,Julius E. Bernth & Alberto Arezzo & Hongbin Liu 0001,journals/ral/BernthAL17,https://doi.org/10.1109/LRA.2017.2678540
828,Manipulation Planning Using Object-Centered Predicates and Hierarchical Decomposition of Contextual Actions.,2020,Alejandro Agostini & Matteo Saveriano & Dongheui Lee & Justus H. Piater,journals/ral/AgostiniSLP20,https://doi.org/10.1109/LRA.2020.3009063
829,Design and Evaluation of a Steerable Magnetic Sheath for Cardiac Ablations.,2018,Christophe Chautems & Sean Lyttle & Quentin Boehler & Bradley J. Nelson,journals/ral/ChautemsLBN18,https://doi.org/10.1109/LRA.2018.2809546
830,Zoomorphic Gestures for Communicating Cobot States.,2021,Vanessa Sauer & Axel Sauer & Alexander Mertens,journals/ral/SauerSM21,https://doi.org/10.1109/LRA.2021.3060416
831,Learning by Demonstration for Planning Activities of Daily Living in Rehabilitation and Assistive Robotics.,2017,Clemente Lauretti & Francesca Cordella & Eugenio Guglielmelli & Loredana Zollo,journals/ral/LaurettiCGZ17,https://doi.org/10.1109/LRA.2017.2669369
832,Optimal Control for Kinematic Bicycle Model With Continuous-Time Safety Guarantees: A Sequential Second-Order Cone Programming Approach.,2022,Victor Freire & Xiangru Xu,journals/ral/FreireX22,https://doi.org/10.1109/LRA.2022.3204903
833,How to Accurately Monitor the Weld Penetration From Dynamic Weld Pool Serial Images Using CNN-LSTM Deep Learning Model?,2022,Rui Yu & Joseph Kershaw & Peng Wang 0019 & YuMing Zhang,journals/ral/YuKWZ22,https://doi.org/10.1109/LRA.2022.3173659
834,Visibility-Based Target-Tracking Game: Bounds and Tracking Strategies.,2017,Hamid Emadi & Tianshuang Gao & Sourabh Bhattacharya,journals/ral/EmadiGB17,https://doi.org/10.1109/LRA.2017.2714980
835,A Local Filtering Technique for Robot Skin Data.,2021,Alessandro Albini & Giorgio Cannata & Perla Maiolino,journals/ral/AlbiniCM21,https://doi.org/10.1109/LRA.2021.3098457
836,"Corrections to ""Design; Fabrication; and Hysteresis Modeling of Soft Microtubule Artificial Muscle (SMAM) for Medical Applications"".",2021,Mai Thanh Thai & Phuoc Thien Phan & Trung Thien Hoang & Harrison Low & Nigel H. Lovell & Thanh Nho Do,journals/ral/ThaiPHLLD21a,https://doi.org/10.1109/LRA.2021.3108243
837,Effect of External Damping on Ankle Motion During the Swing Phase of Walking.,2022,Chinmay Jategaonkar & Yogesh Singh & Vineet Vashista,journals/ral/JategaonkarSV22,https://doi.org/10.1109/LRA.2022.3184781
838,Safety-Aware Nonlinear Model Predictive Control for Physical Human-Robot Interaction.,2021,Artemiy Oleinikov & Sanzhar Kusdavletov & Almas Shintemirov & Matteo Rubagotti,journals/ral/OleinikovKSR21,https://doi.org/10.1109/LRA.2021.3083581
839,Graph-Based Non-Linear Least Squares Optimization for Visual Place Recognition in Changing Environments.,2021,Stefan Schubert & Peer Neubert & Peter Protzel,journals/ral/SchubertNP21,https://doi.org/10.1109/LRA.2021.3052446
840,Point Set Voting for Partial Point Cloud Analysis.,2021,Junming Zhang & Weijia Chen & Yuping Wang & Ram Vasudevan & Matthew Johnson-Roberson,journals/ral/ZhangCWVJ21,https://doi.org/10.1109/LRA.2020.3048658
841,Sole GNSS Sensor Extrinsic Calibration Methods for Mobile Mapping Systems.,2022,Sheng Bao & Wenzhong Shi & Pengxin Chen & Haodong Xiang,journals/ral/BaoSCX22,https://doi.org/10.1109/LRA.2022.3193632
842,Semantic-Direct Visual Odometry.,2022,Yaoqi Bao & Zhe Yang & Yun Pan & Ruohong Huan,journals/ral/BaoYPH22,https://doi.org/10.1109/LRA.2022.3176799
843,A Morphing Cargo Drone for Safe Flight in Proximity of Humans.,2020,Przemyslaw Mariusz Kornatowski & Mir Feroskhan & William J. Stewart 0002 & Dario Floreano,journals/ral/KornatowskiFSF20,https://doi.org/10.1109/LRA.2020.2993757
844,Human-in-the-Loop Weight Compensation in Upper Limb Wearable Robots Towards Total Muscles' Effort Minimization.,2022,Rezvan Nasiri & Hamidreza Aftabi & Majid Nili Ahmadabadi,journals/ral/NasiriAA22,https://doi.org/10.1109/LRA.2022.3144519
845,Optimal Dynamic Duct Static Pressure Method in a Multi-Zone Variable Air Volume System.,2021,Xuetao Wang & Qianchuan Zhao & Yifan Wang & Tian Xing,journals/ral/WangZWX21,https://doi.org/10.1109/LRA.2021.3089135
846,Robot-Assisted Landing of VTOL UAVs: Design and Comparison of Coupled and Decoupling Linear State-Space Control Approaches.,2016,Moritz Maier & Andre Oeschger & Konstantin Kondak,journals/ral/MaierOK16,https://doi.org/10.1109/LRA.2015.2502920
847,Hierarchical Planning With Annotated Skeleton Guidance.,2022,Diane Uwacu & Ananya Yammanuru & Marco Morales 0001 & Nancy M. Amato,journals/ral/UwacuYMA22,https://doi.org/10.1109/LRA.2022.3196885
848,A Motion Generation Strategy of Robotic Rat Using Imitation Learning for Behavioral Interaction.,2022,Hongzhao Xie & Guanglu Jia & Mohamed Al-Khulaqui & Zihang Gao & Xiaowen Guo & Toshio Fukuda & Qing Shi,journals/ral/XieJAGGFS22,https://doi.org/10.1109/LRA.2022.3182472
849,Nonlinear MPC for Quadrotor Fault-Tolerant Control.,2022,Fang Nan & Sihao Sun & Philipp Foehn & Davide Scaramuzza 0001,journals/ral/NanSFS22,https://doi.org/10.1109/LRA.2022.3154033
850,A Method for Reducing the Complexity of Model Predictive Control in Robotics Applications.,2019,Michael Muehlebach & Raffaello D'Andrea,journals/ral/MuehlebachD19,https://doi.org/10.1109/LRA.2019.2907411
851,A Robot That Encourages Self-Disclosure to Reduce Anger Mood.,2021,Takuto Akiyoshi & Junya Nakanishi & Hiroshi Ishiguro & Hidenobu Sumioka & Masahiro Shiomi,journals/ral/AkiyoshiNISS21,https://doi.org/10.1109/LRA.2021.3102326
852,Deformation-Driven Closed-Chain Soft Mobile Robot Aimed for Rolling and Climbing Locomotion.,2022,Luka Paul Johnsen & Hideyuki Tsukagoshi,journals/ral/JohnsenT22,https://doi.org/10.1109/LRA.2022.3191798
853,Certainty Aware Global Localisation Using 3D Point Correspondences.,2021,Remo Steiner & Mark Cox & Paulo V. K. Borges & Lukas Bernreiter & Juan I. Nieto 0001,journals/ral/SteinerCBBN21,https://doi.org/10.1109/LRA.2021.3114956
854,R $^2$ LIVE: A Robust; Real-Time; LiDAR-Inertial-Visual Tightly-Coupled State Estimator and Mapping.,2021,Jiarong Lin & Chunran Zheng & Wei Xu 0028 & Fu Zhang,journals/ral/LinZXZ21,https://doi.org/10.1109/LRA.2021.3095515
855,Asynchronous Corner Detection and Tracking for Event Cameras in Real Time.,2018,Ignacio Alzugaray & Margarita Chli,journals/ral/AlzugarayC18,https://doi.org/10.1109/LRA.2018.2849882
856,Automatic Virtual Metrology and Deformation Fusion Scheme for Engine-Case Manufacturing.,2018,Hao Tieng & Tsung-Han Tsai 0004 & Chun-Fang Chen & Haw Ching Yang & Jhih-Wei Huang & Fan-Tien Cheng,journals/ral/TiengTCYHC18,https://doi.org/10.1109/LRA.2018.2792690
857,Long-Term Pedestrian Trajectory Prediction Using Mutable Intention Filter and Warp LSTM.,2021,Zhe Huang 0010 & Aamir Hasan 0002 & Kazuki Shin & Ruohua Li & Katherine Rose Driggs-Campbell,journals/ral/HuangHSLD21,https://doi.org/10.1109/LRA.2020.3047731
858,BRL/Pisa/IIT SoftHand: A Low-Cost; 3D-Printed; Underactuated; Tendon-Driven Hand With Soft and Adaptive Synergies.,2022,Haoran Li & Christopher J. Ford & Matteo Bianchi 0002 & Manuel G. Catalano & Efi Psomopoulou & Nathan F. Lepora,journals/ral/LiFBCPL22,https://doi.org/10.1109/LRA.2022.3187876
859,Performance Improvement of a High-Speed Swimming Robot for Fish-Like Leaping.,2022,Di Chen & Zhengxing Wu & Pengfei Zhang & Min Tan 0001 & Junzhi Yu,journals/ral/ChenWZTY22,https://doi.org/10.1109/LRA.2022.3142409
860,Learning Selective Communication for Multi-Agent Path Finding.,2022,Ziyuan Ma & Yudong Luo & Jia Pan,journals/ral/MaLP22,https://doi.org/10.1109/LRA.2021.3139145
861,Self-Supervised Correspondence in Visuomotor Policy Learning.,2020,Peter R. Florence & Lucas Manuelli & Russ Tedrake,journals/ral/FlorenceMT20,https://doi.org/10.1109/LRA.2019.2956365
862,State-Consistency Loss for Learning Spatial Perception Tasks From Partial Labels.,2021,Mirko Nava & Luca Maria Gambardella & Alessandro Giusti,journals/ral/NavaGG21,https://doi.org/10.1109/LRA.2021.3056378
863,Precise Relative Positioning via Tight-Coupling of GPS Carrier Phase and Multiple UWBs.,2022,Adyasha Mohanty & Asta Wu & Sriramya Bhamidipati & Grace Xingxin Gao,journals/ral/MohantyWBG22,https://doi.org/10.1109/LRA.2022.3145051
864,Combining Navigation and Manipulation Costs for Time-Efficient Robot Placement in Mobile Manipulation Tasks.,2022,Fabian Reister & Markus Grotz & Tamim Asfour,journals/ral/ReisterGA22,https://doi.org/10.1109/LRA.2022.3191215
865,Momentum Control of an Underactuated Flying Humanoid Robot.,2018,Daniele Pucci & Silvio Traversaro & Francesco Nori,journals/ral/PucciTN18,https://doi.org/10.1109/LRA.2017.2734245
866,Estimating Forces Along Continuum Robots.,2022,Vincent A. Aloi & Khoa T. Dang & Eric J. Barth & D. Caleb Rucker,journals/ral/AloiDBR22,https://doi.org/10.1109/LRA.2022.3188905
867,Hilti-Oxford Dataset: A Millimeter-Accurate Benchmark for Simultaneous Localization and Mapping.,2023,Lintong Zhang & Michael Helmberger & Lanke Frank Tarimo Fu & David Wisth & Marco Camurri & Davide Scaramuzza 0001 & Maurice F. Fallon,journals/ral/ZhangHFWCSF23,https://doi.org/10.1109/LRA.2022.3226077
868,Non-Orthogonal Moving Frame for the Kinematics of Parallel Pointing Mechanisms.,2023,Shaoping Bai,journals/ral/Bai23,https://doi.org/10.1109/LRA.2023.3235192
869,Safe Control Synthesis With Uncertain Dynamics and Constraints.,2022,Kehan Long & Vikas Dhiman & Melvin Leok & Jorge Cortés 0001 & Nikolay Atanasov,journals/ral/LongDLCA22,https://doi.org/10.1109/LRA.2022.3182544
870,Learning to Pick at Non-Zero-Velocity From Interactive Demonstrations.,2022,Anna Mészáros & Giovanni Franzese & Jens Kober,journals/ral/MeszarosFK22,https://doi.org/10.1109/LRA.2022.3165531
871,RTSRAs: A Series-Parallel-Reconfigurable Tendon-Driven Supernumerary Robotic Arms.,2022,Qinghua Zhang & Changle Li & Hongwei Jing & Hongwu Li & Xianglong Li & Haotian Ju & Yuan Tang & Jie Zhao 0003 & Yanhe Zhu,journals/ral/ZhangLJLLJTZZ22,https://doi.org/10.1109/LRA.2022.3183251
872,Automatic Normal Positioning of Robotic Ultrasound Probe Based Only on Confidence Map Optimization and Force Measurement.,2020,Zhongliang Jiang & Matthias Grimm & Mingchuan Zhou & Javier Esteban & Walter Simson & Guillaume Zahnd & Nassir Navab,journals/ral/JiangGZESZN20,https://doi.org/10.1109/LRA.2020.2967682
873,A Hopping Robot Driven by a Series Elastic Dual-Motor Actuator.,2019,Tom Verstraten & Raphael Furnemont & Philipp Beckerle & Bram Vanderborght & Dirk Lefeber,journals/ral/VerstratenFBVL19,https://doi.org/10.1109/LRA.2019.2902071
874,Probabilistic Contact Estimation and Impact Detection for State Estimation of Quadruped Robots.,2017,Marco Camurri & Maurice F. Fallon & Stéphane Bazeille & Andreea Radulescu & Victor Barasuol & Darwin G. Caldwell & Claudio Semini,journals/ral/CamurriFBRBCS17,https://doi.org/10.1109/LRA.2017.2652491
875,Simultaneous Positive and Negative Pressure Control Using Disturbance Observer Compensating Coupled Disturbance Dynamics.,2022,Chanyong Park & Myeongyun Doh & Yoonwoo Ha & Altair Coutinho & Tuan Anh Luong & Iksu Choi & Hyouk Ryeol Choi & Ja Choon Koo & Hugo Rodrigue & Hyungpil Moon,journals/ral/ParkDHCLCCKRM22,https://doi.org/10.1109/LRA.2022.3160599
876,Vibration-Based Multi-Axis Force Sensing: Design; Characterization; and Modeling.,2020,Winnie Kuang & Michael C. Yip & Jun Zhang 0025,journals/ral/KuangYZ20,https://doi.org/10.1109/LRA.2020.2975726
877,Identification and Control of a Soft-Robotic Bladder Towards Impedance-Style Haptic Terrain Display.,2022,Nathan Baum & Mark A. Minor,journals/ral/BaumM22,https://doi.org/10.1109/LRA.2022.3216251
878,PneuAct-II: Hybrid Manufactured Electromagnetically Stealth Pneumatic Stepper Actuator.,2020,Foad Sojoodi Farimani & Morteza Mojarradi & Edsko E. G. Hekman & Sarthak Misra,journals/ral/FarimaniMHM20,https://doi.org/10.1109/LRA.2020.2974652
879,Inchworm-Inspired Soft Robot With Light-Actuated Locomotion.,2019,Yuanyuan Yang 0002 & Dengfeng Li 0004 & Yajing Shen,journals/ral/YangLS19,https://doi.org/10.1109/LRA.2019.2896917
880,Realtime Simulation of Thin-Shell Deformable Materials Using CNN-Based Mesh Embedding.,2020,Qingyang Tan & Zherong Pan & Lin Gao 0004 & Dinesh Manocha,journals/ral/TanPGM20,https://doi.org/10.1109/LRA.2020.2970624
881,Deep Reinforcement Learning in Soft Viscoelastic Actuator of Dielectric Elastomer.,2019,Lu Li & Junnan Li 0001 & Lei Qin & Jiawei Cao & Mohan S. Kankanhalli & Jian Zhu 0005,journals/ral/LiLQCK019,https://doi.org/10.1109/LRA.2019.2898710
882,Auction Bidding Methods for Multiagent Consensus Optimization in Supply-Demand Networks.,2018,Niyousha Rahimi & Jundi Liu & Andrey Shishkarev & Ilya Buzytsky & Ashis G. Banerjee,journals/ral/RahimiLSBB18,https://doi.org/10.1109/LRA.2018.2869999
883,A Cerebellar Internal Models Control Architecture for Online Sensorimotor Adaptation of a Humanoid Robot Acting in a Dynamic Environment.,2020,Marie Claire Capolei & Nils Axel Andersen & Henrik Hautop Lund & Egidio Falotico & Silvia Tolu,journals/ral/CapoleiALFT20,https://doi.org/10.1109/LRA.2019.2943818
884,Cooperative Localization Using Learning-Based Constrained Optimization.,2022,Changwei Chen & Solmaz S. Kia,journals/ral/ChenK22,https://doi.org/10.1109/LRA.2022.3180039
885,A Flexible Sensor for Suture Training.,2019,Woonjae Choi & Bummo Ahn,journals/ral/ChoiA19,https://doi.org/10.1109/LRA.2019.2933995
886,Reaching Through Latent Space: From Joint Statistics to Path Planning in Manipulation.,2022,Chia-Man Hung & Shaohong Zhong & Walter Goodwin & Oiwi Parker Jones & Martin Engelcke & Ioannis Havoutis & Ingmar Posner,journals/ral/HungZGJEHP22,https://doi.org/10.1109/LRA.2022.3152697
887,Informed Sampling Exploration Path Planner for 3D Reconstruction of Large Scenes.,2021,Yves Kompis & Luca Bartolomei & Ruben Mascaro & Lucas Teixeira & Margarita Chli,journals/ral/KompisBMTC21,https://doi.org/10.1109/LRA.2021.3101856
888,Min-Max Vertex Cycle Covers With Connectivity Constraints for Multi-Robot Patrolling.,2022,Jürgen Scherer & Angela P. Schoellig & Bernhard Rinner,journals/ral/SchererSR22,https://doi.org/10.1109/LRA.2022.3193242
889,Robust Place Categorization With Deep Domain Generalization.,2018,Massimiliano Mancini & Samuel Rota Bulò & Barbara Caputo & Elisa Ricci 0001,journals/ral/ManciniBCR18,https://doi.org/10.1109/LRA.2018.2809700
890,Terrain-Aware Path Planning and Map Update for Mars Sample Return Mission.,2020,Gabrielle Hedrick & Nicholas Ohi & Yu Gu 0008,journals/ral/HedrickOG20,https://doi.org/10.1109/LRA.2020.3005123
891,Robotic Presence: The Effects of Anthropomorphism and Robot State on Task Performance and Emotion.,2022,Lawrence H. Kim & Veronika Domova & Yuqi Yao & Chien-Ming Huang 0001 & Sean Follmer & Pablo E. Paredes,journals/ral/KimDYHFP22,https://doi.org/10.1109/LRA.2022.3181726
892,Real-Time 3-D Shape Instantiation From Single Fluoroscopy Projection for Fenestrated Stent Graft Deployment.,2018,Xiao-Yun Zhou & Jianyu Lin & Celia V. Riga & Guang-Zhong Yang & Su-Lin Lee,journals/ral/ZhouLRYL18,https://doi.org/10.1109/LRA.2018.2798286
893,Pitch-Up Motion Mechanism With Heat Welding by Soft Inflatable Growing Robot.,2022,Yuki Satake & Hiroyuki Ishii,journals/ral/SatakeI22,https://doi.org/10.1109/LRA.2022.3153724
894,Handling and Describing String-Tying Operations Based on Metrics Using Segments Between Crossing Sections.,2016,Hiromu Onda & Shunsuke Kudoh & Takashi Suehiro,journals/ral/OndaKS16,https://doi.org/10.1109/LRA.2016.2518741
895,Robust Classification of Grasped Objects in Intuitive Human-Robot Collaboration Using a Wearable Force-Myography Device.,2021,Nadav D. Kahanowich & Avishai Sintov,journals/ral/KahanowichS21,https://doi.org/10.1109/LRA.2021.3057794
896,Fast Underwater Image Enhancement for Improved Visual Perception.,2020,Md Jahidul Islam & Youya Xia & Junaed Sattar,journals/ral/IslamXS20,https://doi.org/10.1109/LRA.2020.2974710
897,Bottleneck Analysis to Improve Multidisciplinary Rounding Process in Intensive Care Units at Mayo Clinic.,2018,Hyo-Kyung Lee & Yue Dong 0003 & Brian W. Pickering & Ognjen Gajic & Jingshan Li,journals/ral/LeeDPGL18,https://doi.org/10.1109/LRA.2018.2828458
898,Eversion Robotic Mechanism With Hydraulic Skeletonto Realize Steering Function.,2021,Tomoya Takahashi & Kenjiro Tadakuma & Masahiro Watanabe & Eri Takane & Natsumi Hookabe & Hiroshi Kajiahara & Takeshi Yamasaki & Masashi Konyo & Satoshi Tadokoro,journals/ral/TakahashiTWTHKY21,https://doi.org/10.1109/LRA.2021.3073653
899,Reachability-Based Trajectory Safeguard (RTS): A Safe and Fast Reinforcement Learning Safety Layer for Continuous Control.,2021,Yifei Simon Shao & Chen Chao & Shreyas Kousik & Ram Vasudevan,journals/ral/ShaoCKV21,https://doi.org/10.1109/LRA.2021.3063989
900,A Dexterous Soft Robotic Hand for Delicate In-Hand Manipulation.,2020,Sylvain Abondance & Clark B. Teeple & Robert J. Wood,journals/ral/AbondanceTW20,https://doi.org/10.1109/LRA.2020.3007411
901,Integrated Task Assignment and Path Planning for Capacitated Multi-Agent Pickup and Delivery.,2021,Zhe Chen & Javier Alonso-Mora & Xiaoshan Bai & Daniel Damir Harabor & Peter J. Stuckey,journals/ral/ChenABHS21,https://doi.org/10.1109/LRA.2021.3074883
902,CU-Net: LiDAR Depth-Only Completion With Coupled U-Net.,2022,Yufei Wang & Yuchao Dai & Qi Liu & Peng Yang & Jiadai Sun & Bo Li,journals/ral/WangDLYSL22,https://doi.org/10.1109/LRA.2022.3201193
903,Collective Conditioned Reflex: A Bio-Inspired Fast Emergency Reaction Mechanism for Designing Safe Multi-Robot Systems.,2022,Zhenting Zhao & Bowei He & Wenhao Luo & Rui Liu 0003,journals/ral/ZhaoHLL22,https://doi.org/10.1109/LRA.2022.3190098
904,An Interaction-Aware Lane Change Behavior Planner for Automated Vehicles on Highways Based on Polygon Clipping.,2019,Manuel Schmidt & Carlo Manna & Jan Holger Braun & Christian Wissing & Manoj Mohamed & Torsten Bertram,journals/ral/SchmidtMBWMB19,https://doi.org/10.1109/LRA.2019.2898093
905,Performance; Precision; and Payloads: Adaptive Nonlinear MPC for Quadrotors.,2022,Drew Hanover & Philipp Foehn & Sihao Sun & Elia Kaufmann & Davide Scaramuzza 0001,journals/ral/HanoverFSKS22,https://doi.org/10.1109/LRA.2021.3131690
906,Human-Multirobot Collaborative Mobile Manipulation: The Omnid Mocobots.,2023,Matthew L. Elwin & Billie Strong & Randy A. Freeman & Kevin M. Lynch,journals/ral/ElwinSFL23,https://doi.org/10.1109/LRA.2022.3226366
907,Safe Optimal Control Under Parametric Uncertainties.,2020,Venkata Ramana Makkapati & Hemanth Sarabu & Vinodhini Comandur & Panagiotis Tsiotras & Seth Hutchinson 0001,journals/ral/MakkapatiSCTH20,https://doi.org/10.1109/LRA.2020.3010491
908,Globally Stable Attitude Control of a Fixed-Wing Rudderless UAV Using Subspace Projection.,2019,Yujendra Mitikiri & Kamran Mohseni,journals/ral/MitikiriM19,https://doi.org/10.1109/LRA.2019.2895889
909,Mathematic Modeling and Optimal Design of a Magneto-Rheological Clutch for the Compliant Actuator in Physical Robot Interactions.,2019,Guangzeng Chen & Yunjiang Lou & Tongyi Shang,journals/ral/ChenLS19,https://doi.org/10.1109/LRA.2019.2928766
910,Sensing and Control of a Multi-Joint Soft Wearable Robot for Upper-Limb Assistance and Rehabilitation.,2021,Tommaso Proietti & Ciarán T. O'Neill & Cameron J. Hohimer & Kristin Nuckols & Megan E. Clarke & Yu Meng Zhou & David J. Lin & Conor J. Walsh,journals/ral/ProiettiOHNCZLW21,https://doi.org/10.1109/LRA.2021.3061061
911,Receding Moving Object Segmentation in 3D LiDAR Data Using Sparse 4D Convolutions.,2022,Benedikt Mersch & Xieyuanli Chen & Ignacio Vizzo & Lucas Nunes & Jens Behley & Cyrill Stachniss,journals/ral/MerschCVNBS22,https://doi.org/10.1109/LRA.2022.3183245
912,Audio Localization for Robots Using Parallel Cerebellar Models.,2018,Mark D. Baxendale & Martin J. Pearson & Mokhtar Nibouche & Emanuele Lindo Secco & Anthony G. Pipe,journals/ral/BaxendalePNSP18,https://doi.org/10.1109/LRA.2018.2850447
913,Polygon-Based Random Tree Search Planning for Variable Geometry Truss Robot.,2020,Sumin Park & JangHo Bae & Seohyeon Lee & Mark Yim & JongWon Kim 0002 & TaeWon Seo,journals/ral/ParkBLYKS20,https://doi.org/10.1109/LRA.2020.2965871
914,Event-Based Signal Temporal Logic Synthesis for Single and Multi-Robot Tasks.,2021,David Gundana & Hadas Kress-Gazit,journals/ral/GundanaK21,https://doi.org/10.1109/LRA.2021.3064220
915,Spatiotemporal Costmap Inference for MPC Via Deep Inverse Reinforcement Learning.,2022,Keuntaek Lee & David Isele & Evangelos A. Theodorou & Sangjae Bae,journals/ral/LeeITB22,https://doi.org/10.1109/LRA.2022.3146635
916,Active and Passive Back-Support Exoskeletons: A Comparison in Static and Dynamic Tasks.,2022,Tommaso Poliero & Vasco Fanti & Matteo Sposito & Darwin G. Caldwell & Christian Di Natali,journals/ral/PolieroFSCN22,https://doi.org/10.1109/LRA.2022.3188439
917,Noise Effects on Quaternion and Axis-Angle Representations in Robotics.,2021,Rui Cortesão & Luís Santos 0003,journals/ral/CortesaoS21,https://doi.org/10.1109/LRA.2020.3030563
918,Impact of Generic Tendon Routing on Tension Loss of Tendon-Driven Continuum Manipulators With Planar Deformation.,2022,Yang Liu 0205 & Farshid Alambeigi,journals/ral/LiuA22,https://doi.org/10.1109/LRA.2022.3147903
919,Taxim: An Example-Based Simulation Model for GelSight Tactile Sensors.,2022,Zilin Si & Wenzhen Yuan,journals/ral/SiY22,https://doi.org/10.1109/LRA.2022.3142412
920,Tactile Quality Control With Biomimetic Active Touch.,2016,Nathan F. Lepora & Benjamin Ward-Cherrier,journals/ral/LeporaW16,https://doi.org/10.1109/LRA.2016.2524071
921,Monocular Object and Plane SLAM in Structured Environments.,2019,Shichao Yang & Sebastian A. Scherer,journals/ral/YangS19,https://doi.org/10.1109/LRA.2019.2924848
922,Next-Best-Sense: A Multi-Criteria Robotic Exploration Strategy for RFID Tags Discovery.,2020,Riccardo Polvara & Manuel Fernández-Carmona & Gerhard Neumann & Marc Hanheide,journals/ral/PolvaraFNH20,https://doi.org/10.1109/LRA.2020.3001539
923,Deep Probabilistic Feature-Metric Tracking.,2021,Binbin Xu 0001 & Andrew J. Davison & Stefan Leutenegger,journals/ral/XuDL21,https://doi.org/10.1109/LRA.2020.3039216
924,Towards In-Flight Transfer of Payloads Between Multirotors.,2020,Ajay Shankar & Sebastian G. Elbaum & Carrick Detweiler,journals/ral/ShankarED20,https://doi.org/10.1109/LRA.2020.3011393
925,Human-Inspired Neurorobotic System for Classifying Surface Textures by Touch.,2016,Ken E. Friedl & Aaron R. Voelker & Angelika Peer & Chris Eliasmith,journals/ral/FriedlVPE16,https://doi.org/10.1109/LRA.2016.2517213
926,A Soft Robotic Hand Based on Bellows Actuators for Dishwashing Automation.,2021,Zhongkui Wang & Takao Hirata & Takanori Sato & Tomoharu Mori & Masaru Kawakami & Hidemitsu Furukawa & Sadao Kawamura,journals/ral/WangHSMKFK21,https://doi.org/10.1109/LRA.2021.3061063
927,A Multimodal Classifier Generative Adversarial Network for Carry and Place Tasks From Ambiguous Language Instructions.,2018,Aly Magassouba & Komei Sugiura & Hisashi Kawai,journals/ral/MagassoubaSK18,https://doi.org/10.1109/LRA.2018.2849607
928,The MSC Prosthetic Hand: Rapid; Powerful; and Intuitive.,2022,Younggeol Cho & YeongSeok Lee & Pyungkang Kim & Seokhwan Jeong & Kyung-Soo Kim,journals/ral/ChoLKJK22,https://doi.org/10.1109/LRA.2022.3140444
929,Soft Fluidic Actuator for Locomotion in Multi-Phase Environments.,2022,Roza Gkliva & Maarja Kruusmaa,journals/ral/GklivaK22,https://doi.org/10.1109/LRA.2022.3192204
930,Coupled Control Lyapunov Functions for Interconnected Systems; With Application to Quadrupedal Locomotion.,2021,Wen-Loong Ma & Noel Csomay-Shanklin & Shishir Kolathaya & Kaveh Akbari Hamed & Aaron D. Ames,journals/ral/MaCKHA21,https://doi.org/10.1109/LRA.2021.3065174
931,Vision Assisted Control of Lower Extremity Exoskeleton for Obstacle Avoidance With Dynamic Constraint Based Piecewise Nonlinear MPC.,2022,Yuxiang Hua & He Zhang & Yinghui Li & Jie Zhao 0003 & Yanhe Zhu,journals/ral/HuaZLZZ22,https://doi.org/10.1109/LRA.2022.3207552
932,An Opportunistic Strategy for Motion Planning in the Presence of Soft Task Constraints.,2020,Massimo Cefalo & Paolo Ferrari & Giuseppe Oriolo,journals/ral/CefaloFO20,https://doi.org/10.1109/LRA.2020.3013893
